,Country,OpportunityPerception
0,UnitedStates,0.8639132270000001
1,Switzerland,0.776207401
2,Canada,0.980981051
3,UnitedKingdom,0.809623808
4,Australia,0.946780961
5,Denmark,1.0
6,Iceland,0.947498361
7,Ireland,0.76648174
8,Sweden,1.0
9,France,0.502129545
10,Netherlands,0.8977676590000001
11,Finland,0.95447443
12,HongKong,1.0
13,Austria,0.779741254
14,Germany,0.774834927
15,Israel,0.73833528
16,Belgium,0.679005765
17,Taiwan,0.516962213
18,Chile,0.820770918
19,Luxembourg,0.810455406
20,Norway,1.0
21,Qatar,0.677034328
22,Estonia,0.896466133
23,Korea,0.457215008
24,Slovenia,0.348750485
25,UnitedArabEmirates,0.349289891
26,Singapore,0.475586615
27,Japan,0.17997660000000001
28,Lithuania,0.45375257700000005
29,Poland,0.46429518
30,Portugal,0.48793136299999995
31,Cyprus,0.521799346
32,Oman,0.583967886
33,Spain,0.407200926
34,Bahrain,0.638712655
35,Slovakia,0.27711116199999997
36,Turkey,0.35489283299999996
37,CzechRepublic,0.354662673
38,Kuwait,0.45929891799999994
39,Tunisia,0.457593953
40,PuertoRico,0.502237069
41,Italy,0.30498619899999996
42,China,0.144596058
43,Latvia,0.392582925
44,SaudiArabia,0.610917053
45,Romania,0.254483958
46,Colombia,0.581730393
47,Greece,0.15267178
48,Jordan,0.363409166
49,Hungary,0.286187319
50,Uruguay,0.502786698
51,Botswana,0.693414915
52,BruneiDarussalam,0.180828806
53,Croatia,0.180560809
54,Barbados,0.681630183
55,CostaRica,0.43227346200000005
56,SouthAfrica,0.395921051
57,Malaysia,0.402051041
58,Lebanon,0.216952765
59,Montenegro,0.34295641
60,Namibia,0.43017179200000005
61,Azerbaijan,0.19439014
62,Belize,0.400851887
63,Kazakhstan,0.318503302
64,Morocco,0.329772919
65,Macedonia,0.32116697899999996
66,Peru,0.429015524
67,India,0.335486002
68,Bulgaria,0.143329342
69,Panama,0.314815878
70,Thailand,0.366345951
71,Iran,0.095226626
72,Ukraine,0.149711788
73,Serbia,0.286707941
74,Mexico,0.434483484
75,Egypt,0.232842295
76,Georgia,0.352366566
77,Russia,0.12777539599999999
78,Gabon,0.439802491
79,Algeria,0.27417822
80,Trinidad&Tobago,0.55618533
81,DominicanRepublic,0.238423733
82,Albania,0.239302988
83,Philippines,0.301876059
84,Argentina,0.145986385
85,Swaziland,0.441003217
86,Vietnam,0.158678823
87,Armenia,0.160971082
88,Jamaica,0.544755205
89,SriLanka,0.355167075
90,Rwanda,0.344015002
91,Moldova,0.241325955
92,Ghana,0.6118718160000001
93,Indonesia,0.25273831199999996
94,BosniaandHerzegovina,0.09944000900000001
95,Ecuador,0.155124983
96,Bolivia,0.133673877
97,Brazil,0.35185413200000004
98,Tajikistan,0.158344453
99,KyrgyzRepublic,0.166965854
100,Nigeria,0.370793025
101,Zambia,0.446960075
102,Senegal,0.40775387700000004
103,Libya,0.11800545900000001
104,Côted’Ivoire,0.413941283
105,Paraguay,0.30846603300000003
106,Honduras,0.266377813
107,Guatemala,0.210917813
108,Kenya,0.288882896
109,Ethiopia,0.33826455299999997
110,Suriname,0.23451736199999998
111,LaoPDR,0.142213662
112,Cambodia,0.138004779
113,ElSalvador,0.270163138
114,Tanzania,0.245271635
115,Guyana,0.287496145
116,"Gambia,The",0.269275779
117,Mali,0.24031741199999998
118,Liberia,0.276090372
119,Pakistan,0.26267338
120,Cameroon,0.246409895
121,Nicaragua,0.11577199199999999
122,Angola,0.175450456
123,Mozambique,0.32299000699999997
124,Madagascar,0.427084445
125,Venezuela,0.054363657
126,Myanmar,0.066949448
127,Benin,0.33586178200000005
128,BurkinaFaso,0.273776488
129,Guinea,0.218621464
130,Uganda,0.263979258
131,SierraLeone,0.122848499
132,Malawi,0.40547792899999996
133,Bangladesh,0.232225145
134,Burundi,0.228067642
135,Mauritania,0.250200572
136,Chad,0.14569548400000001
